quoteID	quoteText	subQuotationList	referringExpression
Q90	Très mal, certainement ; je vous considère comme extrêmement dangereux, et si quelque chose arrivait à notre bonne duchesse, nous vous regarderions tous comme primordialement responsable. Oui, j’aimerais à causer de la vie avec vous. La génération à laquelle j’appartiens est ennuyeuse. Quelque jour que vous serez fatigué de la vie de Londres, venez donc à Treadley, vous m’exposerez votre philosophie du plaisir en buvant d’un admirable Bourgogne que j’ai le bonheur de posséder.	['Très mal, certainement ; je vous considère comme extrêmement dangereux, et si quelque chose arrivait à notre bonne duchesse, nous vous regarderions tous comme primordialement responsable.', 'Oui, j’aimerais à causer de la vie avec vous.', 'La génération à laquelle j’appartiens est ennuyeuse.', 'Quelque jour que vous serez fatigué de la vie de Londres, venez donc à Treadley, vous m’exposerez votre philosophie du plaisir en buvant d’un admirable Bourgogne que j’ai le bonheur de posséder.']	
Q91	J’en serai charmé ; une visite à Treadley est une grande faveur. L’hôte en est parfait et la bibliothèque aussi parfaite.	['J’en serai charmé ; une visite à Treadley est une grande faveur.', 'L’hôte en est parfait et la bibliothèque aussi parfaite.']	
Q92	Vous compléterez l’ensemble. Et maintenant il faut que je prenne congé de votre excellente tante. Je suis attendu à l’Athenæum. C’est l’heure où nous y dormons.	['Vous compléterez l’ensemble', 'Et maintenant il faut que je prenne congé de votre excellente tante', 'Je suis attendu à l’Athenæum', 'C’est l’heure où nous y dormons.']	répondit le vieux gentleman avec un salut courtois
Q93	Vous tous, M. Erskine ?	['Vous tous, M. Erskine ?']	
Q94	Quarante d’entre nous dans quarante fauteuils. Nous travaillons à une académie littéraire anglaise.	['Quarante d’entre nous dans quarante fauteuils.', 'Nous travaillons à une académie littéraire anglaise.']	
Q95	Je vais au Parc.	['Je vais au Parc.']	dit-il
Q96	Laissez-moi aller avec vous, murmura-t-il.	['Laissez-moi aller avec vous']	murmura-t-il
Q97	Mais je pensais que vous aviez promis à Basil Hallward d’aller le voir.	['Mais je pensais que vous aviez promis à Basil Hallward d’aller le voir.']	
Q98	Je voudrais d’abord aller avec vous ; oui, je sens qu’il faut que j’aille avec vous. Voulez-vous ?… Et promettez-moi de me parler tout le temps. Personne ne parle aussi merveilleusement que vous.	['Je voudrais d’abord aller avec vous ; oui, je sens qu’il faut que j’aille avec vous.', 'Voulez-vous ?…', 'Et promettez-moi de me parler tout le temps.', 'Personne ne parle aussi merveilleusement que vous.']	
Q99	Ah ! j’ai bien assez parlé aujourd’hui. Tout ce que je désire maintenant, c’est d’observer. Vous pouvez venir avec moi, nous observerons, ensemble, si vous le désirez.	['Ah ! j’ai bien assez parlé aujourd’hui.', 'Tout ce que je désire maintenant, c’est d’observer.', 'Vous pouvez venir avec moi, nous observerons, ensemble, si vous le désirez.']	dit lord Henry en souriant
